,Collection,BrandLine,Material,StyleCode,GridValue,Style,Region,Size,Color,Month,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName
81,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-06,41.0,black,shiny,0.0,Sun,Calvin Klein
82,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-07,39.0,black,shiny,0.0,Sun,Calvin Klein
83,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,AMER,55,BLACK,2024-08,35.0,black,shiny,0.0,Sun,Calvin Klein
84,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2023-09,7.0,black,shiny,0.0,Sun,Calvin Klein
85,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2023-10,8.0,black,shiny,0.0,Sun,Calvin Klein
86,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2023-11,8.0,black,shiny,0.0,Sun,Calvin Klein
87,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2023-12,1.0,black,shiny,0.0,Sun,Calvin Klein
88,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-01,17.0,black,shiny,0.0,Sun,Calvin Klein
89,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-02,34.0,black,shiny,0.0,Sun,Calvin Klein
90,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-03,20.0,black,shiny,0.0,Sun,Calvin Klein
91,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-04,9.0,black,shiny,0.0,Sun,Calvin Klein
92,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-05,21.0,black,shiny,0.0,Sun,Calvin Klein
93,KC,CALVIN KLEIN SUN,59389,CK21529S,5516001,CK21529S/55/BLACK,EMEA,55,BLACK,2024-06,15.0,black,shiny,0.0,Sun,Calvin Klein
