,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor,Date,Glasses_3m_avg_x,Sunglasses_3m_avg_x,acetate frame glasses_x,Calvin Klein frames_x,FSA glasses_x,Lacoste frames_x,metal frame glasses_x,Nike frames_x,Glasses_3m_avg_y,Sunglasses_3m_avg_y,acetate frame glasses_y,Calvin Klein frames_y,FSA glasses_y,Lacoste frames_y,metal frame glasses_y,Nike frames_y
23,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E8635D1,U,Full,Sun,54-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,970,CRYSTAL,CHINA ONLY,"112,50","92,50",CK24534S,Potential ADV,"225,00",AVANTGARDE,Cat-eye,,crystal,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
24,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,Full,Sun,55-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,2,BLACK/CHARCOAL,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,Butterfly,,black,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
25,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,Full,Sun,55-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,226,BROWN/LIGHT BROWN,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,Butterfly,,brown,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
26,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,Full,Sun,55-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,240,HAVANA,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,Butterfly,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
27,Sun,4,"190,00",CALVIN KLEIN - SEP 2024,E8639G1,F,Full,Sun,55-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,272,NUDE,CHINA ONLY,"104,50","86,00",CK24535S,,"209,00",AVANTGARDE,Butterfly,,beige,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
28,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,Full,Sun,53-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,5,BLACK/AVIO,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,Rectangle,,black,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
29,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,Full,Sun,53-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,235,DARK HAVANA,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
30,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,Full,Sun,53-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,280,LIGHT BROWN/CRYSTAL,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,Rectangle,,brown,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
31,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,Full,Sun,53-19-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,434,PETROL/SMOKE,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,Rectangle,,blue,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
32,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,Full,Sun,55-15-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,Rectangle,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
33,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,Full,Sun,55-15-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,219,MILKY BROWN HAVANA,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,Rectangle,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
34,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,Full,Sun,55-15-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,233,HAVANA/BLACK,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,Rectangle,,tortoise,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
35,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,Full,Sun,55-15-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,461,BLUE HAVANA/HAVANA,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,Rectangle,,tortoise,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
36,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
37,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,Full,Sun,51-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,ACETATE,233,HAVANA/BLACK,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,tortoise,shiny,1,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
