,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor
30,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,FULL RIM,Sun,53-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,280,LIGHT BROWN/CRYSTAL,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,brown,shiny,1
31,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E8639F1,M,FULL RIM,Sun,53-19-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,434,PETROL/SMOKE,CHINA ONLY,"104,50","86,00",CK24536S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,blue,shiny,1
32,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,FULL RIM,Sun,55-15-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,MODIFIED RECTANGLE,,black,shiny,0
33,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,FULL RIM,Sun,55-15-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,219,MILKY BROWN HAVANA,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,0
34,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,FULL RIM,Sun,55-15-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,233,HAVANA/BLACK,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,1
35,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640H1,F,FULL RIM,Sun,55-15-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,461,BLUE HAVANA/HAVANA,CHINA ONLY,"99,50","82,00",CK24537S,,"199,00",CLASSIC,MODIFIED RECTANGLE,,tortoise,shiny,1
36,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,1,BLACK,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,black,shiny,0
37,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,233,HAVANA/BLACK,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,tortoise,shiny,1
38,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,235,DARK HAVANA,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,tortoise,shiny,0
39,Sun,4,"180,00",CALVIN KLEIN - SEP 2024,E8640G1,U,FULL RIM,Sun,51-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,True,ACETATE,255,HONEY HAVANA/HONEY,CHINA ONLY,"99,50","82,00",CK24538S,,"199,00",CLASSIC,P-3,,tortoise,shiny,1
